"Rule","STIG Revisions (date)"
SV-205740r569188_rule,"Windows_Server_2019_STIG-2-1(2020-11-13), | Windows_Server_2019_STIG-2-2(2021-05-04), | Windows_Server_2019_STIG-2-3(2021-11-01), | Windows_Server_2019_STIG-2-4(2022-05-31)"
SV-220699r569187_rule,"Windows_10_STIG-2-1(2020-11-13), | Windows_10_STIG-2-2(2021-05-04), | Windows_10_STIG-2-3(2021-11-01), | MS_Windows_10_STIG-2-4(2022-05-31)"
SV-222602r561263_rule,"Application_Security_Development_STIG-5-1(2020-10-23), | Application_Security_Development_STIG-5-2(2022-10-27)"
SV-222605r561266_rule,"Application_Security_Development_STIG-5-1(2020-10-23), | Application_Security_Development_STIG-5-2(2022-10-27)"
SV-224864r569186_rule,"Windows_Server_2016_STIG-2-1(2020-11-13), | Windows_Server_2016_STIG-2-2(2021-05-04), | Windows_Server_2016_STIG-2-3(2021-11-01), | Windows_Server_2016_STIG-2-4(2022-05-31), | Windows_Server_2016_STIG-2-5(2022-11-14)"
SV-224865r569186_rule,"Windows_Server_2016_STIG-2-1(2020-11-13), | Windows_Server_2016_STIG-2-2(2021-05-04), | Windows_Server_2016_STIG-2-3(2021-11-01), | Windows_Server_2016_STIG-2-4(2022-05-31), | Windows_Server_2016_STIG-2-5(2022-11-14)"
SV-224971r569186_rule,"Windows_Server_2016_STIG-2-1(2020-11-13), | Windows_Server_2016_STIG-2-2(2021-05-04), | Windows_Server_2016_STIG-2-3(2021-11-01), | Windows_Server_2016_STIG-2-4(2022-05-31)"
SV-228852r559734_rule,"Palo_Alto_Networks_ALG_STIG-2-1(2020-10-23), | Palo_Alto_Networks_ALG_STIG-2-2(2021-07-23), | Palo_Alto_Networks_ALG_STIG-2-3(2022-10-27)"
SV-230768r599842_rule,"Apple_macOS_11_STIG-1-1(2020-11-20), | Apple_macOS_11_STIG-1-2(2021-04-23), | Apple_macOS_11_STIG-1-3(2021-07-23), | Apple_macOS_11_STIG-1-4(2021-10-27), | Apple_macOS_11_STIG-1-5(2022-01-27), | Apple_macOS_11_STIG-1-6(2022-04-27)"
SV-230790r599842_rule,"Apple_macOS_11_STIG-1-1(2020-11-20), | Apple_macOS_11_STIG-1-2(2021-04-23), | Apple_macOS_11_STIG-1-3(2021-07-23), | Apple_macOS_11_STIG-1-4(2021-10-27), | Apple_macOS_11_STIG-1-5(2022-01-27), | Apple_macOS_11_STIG-1-6(2022-04-27), | Apple_macOS_11_STIG-1-7(2023-01-26)"
SV-230813r599842_rule,"Apple_macOS_11_STIG-1-1(2020-11-20), | Apple_macOS_11_STIG-1-2(2021-04-23), | Apple_macOS_11_STIG-1-3(2021-07-23), | Apple_macOS_11_STIG-1-4(2021-10-27), | Apple_macOS_11_STIG-1-5(2022-01-27), | Apple_macOS_11_STIG-1-6(2022-04-27)"
SV-230820r599842_rule,"Apple_macOS_11_STIG-1-1(2020-11-20), | Apple_macOS_11_STIG-1-2(2021-04-23), | Apple_macOS_11_STIG-1-3(2021-07-23), | Apple_macOS_11_STIG-1-4(2021-10-27), | Apple_macOS_11_STIG-1-5(2022-01-27), | Apple_macOS_11_STIG-1-6(2022-04-27), | Apple_macOS_11_STIG-1-7(2023-01-26)"
SV-233295r604135_rule,"Juniper_Router_RTR_STIG-2-1(2021-01-22), | Juniper_Router_RTR_STIG-2-3(2022-04-27), | Juniper_Router_RTR_STIG-2-4(2022-07-27)"
SV-233298r604135_rule,"Juniper_Router_RTR_STIG-2-1(2021-01-22), | Juniper_Router_RTR_STIG-2-3(2022-04-27), | Juniper_Router_RTR_STIG-2-4(2022-07-27)"
SV-242469r717088_rule,"VMW_vSphere_6-7_Virtual_Machine_STIG-1-1(2021-03-09), | VMW_vSphere_6-7_Virtual_Machine_STIG-1-2(2022-02-08)"